练习,liànxí,drill; exercise; practice; to practice
空调,kōngtiáo,air conditioner (including units that have a heating mode); air conditioning
关,guān,mountain pass; to close; to shut; to turn off; to concern; to involve; to confine; to lock (sb) up; to shut (sb in a room, a bird in a cage etc)
短,duǎn,brief; fault; short; to lack; weak point
愿意,yuànyì,ready; to want; to wish; willing (to do sth)
地铁,dìtiě,subway train; underground railway; subway
筷子,kuàizi,chopsticks
影响,yǐngxiǎng,effect; influence; to affect (usually adversely); to disturb; to influence
太阳,tàiyang,sun
哭,kū,to cry; to weep
发现,fāxiàn,a discovery; to discover; to find; to detect; to notice; to become aware of
后来,hòulái,afterwards; later; newly arrived
菜单,càidān,menu
鼻子,bízi,nose
关系,guānxi,guanxi; relation; relationship; to affect; to concern; to have to do with
刷牙,shuāyá,to brush one's teeth
瓶子,píngzi,bottle
打算,dǎsuàn,calculation; intention; plan; to calculate; to intend; to plan
动物,dòngwù,animal
几乎,jīhū,almost; nearly; practically
办法,bànfǎ,means; method; way (of doing sth)
经常,jīngcháng,day-to-day; everyday; daily; frequently; constantly; regularly; often
要求,yāoqiú,requirement; to ask; to demand; to request; to require; to stake a claim
着急,zháojí,to feel a sense of urgency; to be in a hurry; to worry; to feel anxious
蛋糕,dàngāo,cake
选择,xuǎnzé,alternative; choice; option; to pick; to select
甜,tián,sweet
客人,kèrén,client; customer; guest; visitor
经过,jīngguò,course; process; to go through; to pass
安静,ānjìng,calm; peaceful; quiet
照顾,zhàogu,to attend to; to look after; to show consideration; to take care of
照片,zhàopiàn,photograph; picture
超市,chāoshì,supermarket (abbr. for 超級市場|超级市场[chao1 ji2 shi4 chang3])
信用卡,xìnyòngkǎ,credit card
自行车,zìxíngchē,bicycle; bike
节目,jiémù,item (on a program); program
明白,míngbai,clear; obvious; to realize; to understand; unequivocal
留学,liúxué,to study abroad
邻居,línjū,neighbor; next door
洗手间,xǐshǒujiān,lavatory; toilet; washroom
终于,zhōngyú,at last; eventually; finally; in the end
努力,nǔlì,hard-working; conscientious; to make an effort; to try hard; to strive
